City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Atar,MR,2022-02-20 11:02:18,20.5169,-13.0499,76.51,15,0,16.55
67,Barrow,US,2022-02-20 11:04:15,71.2906,-156.7887,-29.18,99,0,10.36
68,Tarko-Sale,RU,2022-02-20 11:05:31,64.9225,77.785,19.4,91,100,19.73
69,Macau,MO,2022-02-20 11:04:56,22.2006,113.5461,49.73,87,40,21.85
70,Aasiaat,GL,2022-02-20 11:03:11,68.7098,-52.8699,-7.94,90,100,10.65
71,Port Lincoln,AU,2022-02-20 11:05:31,-34.7333,135.8667,63.48,77,60,17.45
72,Phitsanulok,TH,2022-02-20 11:05:32,16.9167,100.5,85.48,72,65,5.91
73,Mar Del Plata,AR,2022-02-20 11:05:32,-38.0023,-57.5575,67.87,94,100,8.99
74,Klaksvik,FO,2022-02-20 11:05:32,62.2266,-6.589,36.52,96,100,15.32
75,Kabinda,CD,2022-02-20 11:05:33,-6.1333,24.4833,69.33,88,100,2.51
76,Victoria,HK,2022-02-20 11:00:39,22.2855,114.1577,49.98,93,100,5.99
77,Tecoanapa,MX,2022-02-20 11:05:33,16.5167,-98.75,74.57,70,5,4.09
78,Langsa,ID,2022-02-20 11:05:34,4.4683,97.9683,79.74,89,97,3.15
79,New Norfolk,AU,2022-02-20 11:05:34,-42.7826,147.0587,60.3,59,43,5.99
80,Magadan,RU,2022-02-20 11:05:35,59.5667,150.8,-5.57,77,64,9.28
81,Hay River,CA,2022-02-20 11:05:35,60.8156,-115.7999,-24.63,100,100,5.3
82,Mayo,US,2022-02-20 11:05:35,38.8876,-76.5119,25.16,52,0,3.44
83,Yulara,AU,2022-02-20 11:05:36,-25.2406,130.9889,84.04,17,81,9.22
84,Abu Samrah,SY,2022-02-20 11:05:36,35.3029,37.1841,63.21,37,0,16.15
85,Chernyshevskiy,RU,2022-02-20 11:05:37,63.0128,112.4714,4.19,92,100,10.31
86,Fairbanks,US,2022-02-20 11:01:05,64.8378,-147.7164,-7.02,76,85,3.6
87,Aykhal,RU,2022-02-20 11:05:37,66.0,111.5,8.02,95,100,23.76
88,Vaini,TO,2022-02-20 11:06:37,-21.2,-175.2,78.96,94,20,5.75
89,Shenjiamen,CN,2022-02-20 11:06:38,29.9576,122.298,38.28,57,100,16.84
90,Lavrentiya,RU,2022-02-20 11:06:38,65.5833,-171.0,-21.48,94,86,5.97
91,Broken Hill,AU,2022-02-20 11:06:39,-31.95,141.4333,78.1,23,100,18.16
92,Cabo San Lucas,MX,2022-02-20 11:06:39,22.8909,-109.9124,64.62,61,100,5.3
93,Clyde River,CA,2022-02-20 11:06:40,70.4692,-68.5914,-9.17,84,100,18.41
94,Lekoni,GA,2022-02-20 11:06:40,-1.5843,14.2591,87.1,46,76,3.83
95,Corinto,GR,2022-02-20 11:06:40,37.9407,22.9573,62.64,73,100,7.78
96,Kavaratti,IN,2022-02-20 11:06:41,10.5669,72.642,81.45,68,50,5.06
97,Talaya,RU,2022-02-20 11:06:41,61.3833,152.75,-34.92,100,87,1.39
98,Bilma,NE,2022-02-20 11:06:41,18.6853,12.9164,75.27,13,0,5.35
99,Talnakh,RU,2022-02-20 11:06:42,69.4865,88.3972,18.7,95,100,14.18
100,Hamilton,US,2022-02-20 11:06:42,39.1834,-84.5333,25.43,64,0,8.05
101,Dunedin,NZ,2022-02-20 11:06:43,-45.8742,170.5036,58.8,77,22,5.01
102,Georgetown,MY,2022-02-20 11:03:28,5.4112,100.3354,87.73,62,20,4.61
103,Walvis Bay,NA,2022-02-20 11:06:43,-22.9575,14.5053,73.09,69,28,10.11
104,Castro,BR,2022-02-20 11:06:44,-24.7911,-50.0119,67.35,75,0,2.64
105,Colares,PT,2022-02-20 11:06:44,38.7992,-9.4469,60.89,37,0,32.01
106,Sioux Lookout,CA,2022-02-20 11:06:44,50.1001,-91.917,15.62,96,100,5.03
107,Port Blair,IN,2022-02-20 11:06:45,11.6667,92.75,81.77,54,6,9.15
108,Sambava,MG,2022-02-20 11:06:45,-14.2667,50.1667,88.07,50,100,9.04
109,Olga,RU,2022-02-20 11:06:46,43.7444,135.2892,12.09,58,4,17.05
